,Manufacturer,Family,Number,Core,Frequency,Cache,Power
0,ASROCK,Xeon,E3-1290 v2,Ivy Bridge,3.7GHz,8MB,87W
1,ASROCK,Xeon,E3-1290,Sandy Bridge,3.6GHz,8MB,95W
2,ASROCK,Xeon,E3-1280 v2,Ivy Bridge,3.6GHz,8MB,69W
3,ASROCK,Xeon,E3-1280,Ivy Bridge,3.5GHz,8MB,95W
4,ASROCK,Xeon,E3-1275 v2(E1),Ivy Bridge,3.5GHz,8MB,77W
5,ASROCK,Xeon,E3-1275(D2),Sandy Bridge,3.4GHz,8MB,95W
6,ASROCK,Xeon,E3-1270 v2(E1),Ivy Bridge,3.5GHz,8MB,69W
7,ASROCK,Xeon,E3-1270,Sandy Bridge,3.4GHz,8MB,80W
8,ASROCK,Xeon,E3-1265L v2(E1),Ivy Bridge,2.5GHz,8MB,45W
9,ASROCK,Xeon,E3-1260L(D2),Sandy Bridge,2.4GHz,8MB,45W
10,ASROCK,Xeon,E3-1245 v2(E1),Ivy Bridge,3.4GHz,8MB,77W
11,ASROCK,Xeon,E3-1245(D2),Sandy Bridge,3.3GHz,8MB,95W
12,ASROCK,Xeon,E3-1240 v2(E0),Ivy Bridge,3.4GHz,8MB,69W
13,ASROCK,Xeon,E3-1240(D2),Sandy Bridge,3.3GHz,8MB,80W
14,ASROCK,Xeon,E3-1235(D2),Sandy Bridge,3.2GHz,8MB,95W
15,ASROCK,Xeon,E3-1230 v2(E0),Ivy Bridge,3.3GHz,8MB,69W
16,ASROCK,Xeon,E3-1230(D2),Sandy Bridge,3.2GHz,8MB,80W
17,ASROCK,Xeon,E3-1225 v2(E1),Ivy Bridge,3.2GHz,8MB,77W
18,ASROCK,Xeon,E3-1225(D2),Sandy Bridge,3.1GHz,6MB,95W
19,ASROCK,Xeon,E3-1220 v2(E1),Ivy Bridge,3.1GHz,8MB,69W
20,ASROCK,Xeon,E3-1220(D2),Sandy Bridge,3.1GHz,8MB,80W
21,ASROCK,Xeon,E3-1220L v2,Ivy Bridge,2.3GHz,3MB,17W
22,ASROCK,Xeon,E3-1220L,Sandy Bridge,2.2GHz,3MB,20W
23,ASROCK,Core i7,i7-3770K(E1),Ivy Bridge,3.5GHz,8MB,77W
24,ASROCK,Core i7,i7-3770K(E0),Ivy Bridge,3.5GHz,8MB,77W
25,ASROCK,Core i7,i7-3770(E1),Ivy Bridge,3.4GHz,8MB,77W
26,ASROCK,Core i7,i7-3770(E0),Ivy Bridge,3.4GHz,8MB,77W
27,ASROCK,Core i7,i7-3770T(E1),Ivy Bridge,2.5GHz,8MB,45W
28,ASROCK,Core i7,i7-3770T(E0),Ivy Bridge,2.5GHz,8MB,45W
29,ASROCK,Core i7,i7-3770S(E1),Ivy Bridge,3.1GHz,8MB,65W
30,ASROCK,Core i7,i7-3770S(E0),Ivy Bridge,3.1GHz,8MB,65W
31,ASROCK,Core i7,i7-2700K(D2),Sandy Bridge,3.5GHz,8MB,95W
32,ASROCK,Core i7,i7-2600K(D2),Sandy Bridge,3.4GHz,8MB,95W
33,ASROCK,Core i7,i7-2600(D2),Sandy Bridge,3.4GHz,8MB,95W
34,ASROCK,Core i7,i7-2600S(D2),Sandy Bridge,2.8GHz,8MB,65W
35,ASROCK,Core i5,i5-3570K(E1),Ivy Bridge,3.4GHz,6MB,77W
36,ASROCK,Core i5,i5-3570K(E0),Ivy Bridge,3.4GHz,6MB,77W
37,ASROCK,Core i5,i5-3570(N0),Ivy Bridge,3.4GHz,6MB,77W
38,ASROCK,Core i5,i5-3570S(N0),Ivy Bridge,3.1GHz,6MB,65W
39,ASROCK,Core i5,i5-3570T(E1),Ivy Bridge,2.3GHz,6MB,45W
40,ASROCK,Core i5,i5-3550(E1),Ivy Bridge,3.3GHz,6MB,77W
41,ASROCK,Core i5,i5-3550S(E1),Ivy Bridge,3.0GHz,6MB,65W
42,ASROCK,Core i5,i5-3550S(E0),Ivy Bridge,3.0GHz,6MB,65W
43,ASROCK,Core i5,i5-3475S(E1),Ivy Bridge,2.9GHz,6MB,65W
44,ASROCK,Core i5,i5-3475S(E0),Ivy Bridge,2.9GHz,6MB,65W
45,ASROCK,Core i5,i5-3470(N0),Ivy Bridge,3.2GHz,6MB,77W
46,ASROCK,Core i5,i5-3470S(N0),Ivy Bridge,2.9GHz,6MB,65W
47,ASROCK,Core i5,i5-3470T(L1),Ivy Bridge,2.9GHz,3MB,35W
48,ASROCK,Core i5,i5-3450(E1),Ivy Bridge,3.1GHz,6MB,77W
49,ASROCK,Core i5,i5-3450S(E1),Ivy Bridge,2.8GHz,6MB,65W
50,ASROCK,Core i5,i5-3350P(N0),Ivy Bridge,3.1GHz,6MB,69W
51,ASROCK,Core i5,i5-3350P(E1),Ivy Bridge,3.1GHz,6MB,69W
52,ASROCK,Core i5,i5-3340(E1),Ivy Bridge,3.1GHz,6MB,77W
53,ASROCK,Core i5,i5-3340S(E1),Ivy Bridge,2.8GHz,6MB,65W
54,ASROCK,Core i5,i5-3340(N0),Ivy Bridge,3.1GHz,6MB,77W
55,ASROCK,Core i5,i5-3330(E1),Ivy Bridge,3.0GHz,6MB,77W
56,ASROCK,Core i5,i5-3330(N0),Ivy Bridge,3.0GHz,6MB,77W
57,ASROCK,Core i5,i5-3330S(E1),Ivy Bridge,2.7GHz,6MB,65W
58,ASROCK,Core i5,i5-2550K(D2),Sandy Bridge,3.4GHz,6MB,95W
59,ASROCK,Core i5,i5-2500K(D2),Sandy Bridge,3.3GHz,6MB,95W
60,ASROCK,Core i5,i5-2500(D2),Sandy Bridge,3.3GHz,6MB,95W
61,ASROCK,Core i5,i5-2500S(D2),Sandy Bridge,2.7GHz,6MB,65W
62,ASROCK,Core i5,i5-2500T(D2),Sandy Bridge,2.3GHz,6MB,45W
63,ASROCK,Core i5,i5-2450P(D2),Sandy Bridge,3.2GHz,6MB,95W
64,ASROCK,Core i5,i5-2405S(D2),Sandy Bridge,2.5GHz,6MB,65W
65,ASROCK,Core i5,i5-2400(D2),Sandy Bridge,3.1GHz,6MB,95W
66,ASROCK,Core i5,i5-2400S(D2),Sandy Bridge,2.5GHz,6MB,65W
67,ASROCK,Core i5,i5-2390T(Q0),Sandy Bridge,2.7GHz,3MB,35W
68,ASROCK,Core i5,i5-2380P(D2),Sandy Bridge,3.1GHz,6MB,95W
69,ASROCK,Core i5,i5-2320(D2),Sandy Bridge,3.0GHz,6MB,95W
70,ASROCK,Core i5,i5-2310(D2),Sandy Bridge,2.9GHz,6MB,95W
71,ASROCK,Core i5,i5-2300(D2),Sandy Bridge,2.8GHz,6MB,95W
72,ASROCK,Core i3,i3-3250(P0),Ivy Bridge,3.5GHz,3MB,55W
73,ASROCK,Core i3,i3-3250T(P0),Ivy Bridge,3.0GHz,3MB,35W
74,ASROCK,Core i3,i3-3240(P0),Ivy Bridge,3.4GHz,3MB,55W
75,ASROCK,Core i3,i3-3240(L1),Ivy Bridge,3.4GHz,3MB,55W
76,ASROCK,Core i3,i3-3240T(P0),Ivy Bridge,2.9GHz,3MB,35W
77,ASROCK,Core i3,i3-3240T(L1),Ivy Bridge,2.9GHz,3MB,35W
