,Manufacturer,0,1,2,3,4,5,6,7,8
0,ASROCK,Family,Model,Core,Frequency,FSB,Cache,L3 Cache,CPU Rev.,Power
1,ASROCK,Opteron 3300,OS3350HOW4KHK,Delhi,2800MHz,2000MHz,2MBx2,8MB,C0,45W
2,ASROCK,Opteron 3300,OS3320SJW4KHK,Delhi,1900MHz,1400MHz,2MBx2,8MB,C0,25W
3,ASROCK,Opteron 3300,OS3380OLW8KHK,Delhi,2600MHz,2000MHz,2MBx4,8MB,C0,65W
4,ASROCK,Opteron 3200,OS3280OLW8KGU,Zurich,2400MHz,2600MHz,2MBx4,8MB,B2,65W
5,ASROCK,FX,FD9590FHW8KHK,Vishera,4700MHz,2200MHz,2MBx4,8MB,C0,220W
6,ASROCK,FX,FD9370FHW8KHK,Vishera,4400MHz,2200MHz,2MBx4,8MB,C0,220W
7,ASROCK,FX,FD8370FRW8KHK,Vishera,4000MHz,2200MHz,2MBx4,8MB,C0,125W
8,ASROCK,FX,FD8350FRW8KHK,Vishera,4000MHz,2200MHz,2MBx4,8MB,C0,125W
9,ASROCK,FX,FD837EWMW8KHK,Vishera,3300MHz,2200MHz,2MBx4,8MB,C0,95W
10,ASROCK,FX,FD8320FRW8KHK,Vishera,3500MHz,2200MHz,2MBx4,8MB,C0,125W
11,ASROCK,FX,FD832EWMW8KHK,Vishera,3200MHz,2200MHz,2MBx4,8MB,C0,95W
12,ASROCK,FX,FD8310WMW8KHK,Vishera,3400MHz,2200MHz,2MBx4,8MB,C0,95W
13,ASROCK,FX,FD8300WMW8KHK,Vishera,3300MHz,2200MHz,2MBx4,8MB,C0,95W
14,ASROCK,FX,FD8150FRW8KGU(BE),Zambezi,3600MHz,2200MHz,2MBx4,8MB,B2,125W
15,ASROCK,FX,FD8140WMW8KGU,Zambezi,3200MHz,2200MHz,2MBx4,8MB,B2,95W
16,ASROCK,FX,FD8120FRW8KGU(BE),Zambezi,3100MHz,2200MHz,2MBx4,8MB,B2,125W
17,ASROCK,FX,FD8120WMW8KGU(BE),Zambezi,3100MHz,2200MHz,2MBx4,8MB,B2,95W
18,ASROCK,FX,FD8100WMW8KGU(BE),Zambezi,2800MHz,2000MHz,2MBx4,8MB,B2,95W
19,ASROCK,FX,FD6350FRW6KHK,Vishera,3900MHz,2200MHz,2MBx3,8MB,C0,125W
20,ASROCK,FX,FD6330WMW6KHK,Vishera,3600MHz,2000MHz,2MBx3,8MB,C0,95W
21,ASROCK,FX,FD6300WMW6KHK,Vishera,3500MHz,2000MHz,2MBx3,8MB,C0,95W
22,ASROCK,FX,FD6200FRW6KGU,Zambezi,3800MHz,2200MHz,2MBx3,8MB,B2,125W
23,ASROCK,FX,FD6130FRW6KGU,Zambezi,3600MHz,2200MHz,2MBx3,8MB,B2,125W
24,ASROCK,FX,FD6120WMW6KGU,Zambezi,3500MHz,2000MHz,2MBx3,8MB,B2,95W
25,ASROCK,FX,FD6100WMW6KGU(BE),Zambezi,3300MHz,2000MHz,2MBx3,8MB,B2,95W
26,ASROCK,FX,FD4350FRW4KHK,Vishera,4200MHz,2200MHz,2MBx2,8MB,C0,125W
27,ASROCK,FX,FD4320WMW4MHK,Vishera,4000MHz,2000MHz,2MBx2,4MB,C0,95W
28,ASROCK,FX,FD4300WMW4MHK,Vishera,3800MHz,2000MHz,2MBx2,4MB,C0,95W
29,ASROCK,FX,FD4200FRW4KGU,Zambezi,3300MHz,2200MHz,2MBx2,8MB,B2,125W
30,ASROCK,FX,FD4170FRW4KGU(BE),Zambezi,4200MHz,2200MHz,2MBx2,8MB,B2,125W
31,ASROCK,FX,FD4150WMW4KGU,Zambezi,3900MHz,2000MHz,2MBx2,8MB,B2,95W
32,ASROCK,FX,FD4130FRW4MGU,Zambezi,3800MHz,2000MHz,2MBx2,4MB,B2,125W
33,ASROCK,FX,FD4100WMW4KGU(BE),Zambezi,3600MHz,2000MHz,2MBx2,8MB,B2,95W
