,Manufacturer,Family,Model,Core,Frequency,Cache,CPU Rev.,Power
0,ASROCK,A8,AD3870WNZ43GX(Unlock),Llano,3000MHz,1MBx4,B0,100W
1,ASROCK,A8,AD3850WNZ43GX,Llano,2900MHz,1MBx4,B0,100W
2,ASROCK,A8,AD3820OJZ43GX,Llano,2500MHz,1MBx4,B0,65W
3,ASROCK,A8,AD3800OJZ43GX,Llano,2400MHz,1MBx4,B0,65W
4,ASROCK,A6,AD3670WNZ43GX(Unlock),Llano,2700MHz,1MBx4,B0,100W
5,ASROCK,A6,AD3650WNZ43GX,Llano,2600MHz,1MBx4,B0,100W
6,ASROCK,A6,AD3620OJZ43GX,Llano,2200MHz,1MBx4,B0,65W
7,ASROCK,A6,AD3600OJZ43GX,Llano,2100MHz,1MBx4,B0,65W
8,ASROCK,A6,AD3500OJZ33GX,Llano,2100MHz,1MBx3,B0,65W
9,ASROCK,A4,AD3450OJZ22HX,Llano,3400MHz,512KBx4,B0,65W
10,ASROCK,A4,AD3420OJZ22HX,Llano,2800MHz,512KBx2,B0,65W
11,ASROCK,A4,AD3400OJZ22HX,Llano,2700MHz,512KBx2,B0,65W
12,ASROCK,A4,AD3400OJZ22GX,Llano,2700MHz,512KBx2,B0,65W
13,ASROCK,A4,AD3300OJZ22HX,Llano,2500MHz,512KBx2,B0,65W
14,ASROCK,A4,AD3300OJZ22GX,Llano,2500MHz,512KBx2,B0,65W
15,ASROCK,E2,ED3200OJZ22GX,Llano,2400MHz,512KBx2,B0,65W
16,ASROCK,E2,ED3200OJZ22HX,Llano,2400MHz,512KBx2,B0,65W
17,ASROCK,Athlon II X4,AD651KWNZ43GX,Llano,3000MHz,1MBx4,B0,100W
18,ASROCK,Athlon II X4,AD638XOJZ43GX,Llano,2700MHz,1MBx4,B0,65W
19,ASROCK,Athlon II X4,AD651XWNZ43GX,Llano,3000MHz,1MBx4,B0,100W
20,ASROCK,Athlon II X4,AD641XWNZ43GX,Llano,2800MHz,1MBx4,B0,100W
21,ASROCK,Athlon II X2,AD221XOJZ22GX,Llano,2800MHz,512KBx2,B0,65W
22,ASROCK,Athlon II X4,AD631XOJZ43GX,Llano,2600MHz,1MBx4,B0,65W
23,ASROCK,Athlon II X4,AD631XWNZ43GX,Llano,2600MHz,1MBx4,B0,100W
24,ASROCK,Sempron X2,SD198XOJZ22GX,Llano,2500MHz,512KBx2,B0,65W
