,Manufacturer,Family,Model,Core,Frequency,Cache,CPU Rev.,Power
0,ASROCK,Pro A10,AD875BYBI44JC,Godavari,3600MHz,2MBx2,A1,65W
1,ASROCK,A10 Pro,AD785BXBI44JA,Kaveri,3700MHz,2MBx2,A1,95W
2,ASROCK,A10 Pro,AD780BYBI44JA,Kaveri,3500MHz,2MBx2,A1,65W
3,ASROCK,A10,AD789KXDI44JC,Godavari,4100MHz,2MBx2,A1,95W
4,ASROCK,A10,AD885BXBI44JC,Godavari,3900MHz,2MBx2,A1,95W
5,ASROCK,A10,AD787KXDI44JC,Godavari,3900MHz,2MBx2,A1,95W
6,ASROCK,A10,AD785KXBI44JA,Kaveri,3700MHz,2MBx2,A1,95W
7,ASROCK,A10,AD8750YBI44JC,Godavari,3600MHz,2MBx2,A1,65W
8,ASROCK,A10,AD786KYBI44JC,Godavari,3600MHz,2MBx2,A1,65W
9,ASROCK,A10,AD7800YBI44JA,Kaveri,3500MHz,2MBx2,A1,65W
10,ASROCK,A10,AD770KXBI44JA,Kaveri,3400MHz,2MBx2,A1,95W
11,ASROCK,Pro A8,AD865BYBI44JC,Godavari,3200MHz,2MBx2,A1,65W
12,ASROCK,A8 Pro,AD760BYBI44JA,Kaveri,3100MHz,2MBx2,A1,65W
13,ASROCK,A8,AD769KXBI44JC,Godavari,3700MHz,2MBx2,A1,95W
14,ASROCK,A8,AD767KXBI44JC,Godavari,3600MHz,2MBx2,A1,95W
15,ASROCK,A8,A8-7680 (AD7680ACI43AB),Carrizo,3.5GHz,2MB,A1,65W
16,ASROCK,A8,AD8650YBI44JC,Godavari,3200MHz,2MBx2,A1,65W
17,ASROCK,A8,AD765KXBI44JA,Kaveri,3300MHz,2MBx2,A1,95W
18,ASROCK,A8,AD7600YBI44JA,Kaveri,3100MHz,2MBx2,A1,65W
19,ASROCK,A8,AD7500YBI44JA,Kaveri,3000MHz,2MBx2,A1,65W
20,ASROCK,Pro A6,AD855BYBI23JC,Godavari,3700MHz,1MB,A1,65W
21,ASROCK,A6 Pro,AD740BYBI23JA,Kaveri,3500MHz,1MB,A1,65W
22,ASROCK,A6,AD8550YBI23JC,Godavari,3700MHz,1MB,A1,65W
23,ASROCK,A6,AD747KYBI23JC,Godavari,3700MHz,1MB,A1,65W
24,ASROCK,A6,A6-7480 (AD7480ACI23AB),Carrizo,3.5GHz,2MB,A1,65W
25,ASROCK,A6,AD740KYBI23JA,Kaveri,3500MHz,1MB,A1,65W
26,ASROCK,Pro A4,AD835BYBI23JC,Godavari,3500MHz,1MB,A1,65W
27,ASROCK,Athlon X4,AD880KXBI44JC,Godavari,4000MHz,2MBx2,A1,95W
28,ASROCK,Athlon X4,AD870KXBI44JC,Godavari,3900MHz,2MBx2,A1,95W
29,ASROCK,Athlon X4,AD860KXBI44JA,Kaveri,3700MHz,2MBx2,A1,95W
30,ASROCK,Athlon X4,AD845XACI43KA,Carrizo,3500MHz,1MBx2,A1,65W
31,ASROCK,Athlon X4,AD850XYBI44JC,Godavari,3200MHz,2MBx2,A1,65W
32,ASROCK,Athlon X4,AD835XACI43KA,Carrizo,3100MHz,1MBx2,A1,65W
33,ASROCK,Athlon X4,AD840XYBI44JA,Kaveri,3100MHz,2MBx2,A1,65W
34,ASROCK,Athlon,AD450XYBI23JA,Kaveri,3500MHz,1MB,A1,65W
