,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Athlon Gold 3150G,Dali,4,3.5 to 3.9 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 21st, 2020",
1,Athlon Gold 3150GE,Dali,4,3.5 to 3.8 GHz,Socket AM4,12 nm,4MB,35 W,"Jul 21st, 2020",
2,Athlon Gold PRO 3150G,Dali,4,3.5 to 3.9 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 21st, 2020",
3,Athlon Gold PRO 3150GE,Dali,4,3.5 to 3.8 GHz,Socket AM4,12 nm,4MB,35 W,"Jul 21st, 2020",
4,Athlon Silver 3050GE,Dali,2 / 4,3.4 GHz,Socket AM4,12 nm,4MB,35 W,"Jul 21st, 2020",
5,Athlon Silver PRO 3125GE,Dali,2 / 4,3.4 GHz,Socket AM4,12 nm,4MB,35 W,"Jul 21st, 2020",
6,EPYC 7F32,Rome,8 / 16,3.7 to 3.9 GHz,Socket SP3,7 nm,128MB,180 W,"Apr 14th, 2020",
7,EPYC 7F52,Rome,16 / 32,3.5 to 3.9 GHz,Socket SP3,7 nm,256MB,155 W,"Apr 14th, 2020",
8,EPYC 7F72,Rome,24 / 48,3.2 to 3.7 GHz,Socket SP3,7 nm,192MB,240 W,"Apr 14th, 2020",
9,Ryzen 3 3100,Matisse,4 / 8,3.6 to 3.9 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 24th, 2020",
10,Ryzen 3 3250U,Raven Ridge,2 / 4,2.6 to 3.5 GHz,Socket FP5,14 nm,4MB,15 W,"Jan 6th, 2020",
11,Ryzen 3 3300X,Matisse,4 / 8,3.8 to 4.3 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 24th, 2020",
12,Ryzen 3 4300G,Renoir,4 / 8,3.8 to 4 GHz,Socket AM4,7 nm,4MB,65 W,"Jul 21st, 2020",
13,Ryzen 3 4300GE,Renoir,4 / 8,3.5 to 4 GHz,Socket AM4,7 nm,4MB,35 W,"Jul 21st, 2020",
14,Ryzen 3 4300U,Renoir,4,2.7 to 3.7 GHz,Socket FP6,7 nm,4MB,25 W,"Jan 6th, 2020",
15,Ryzen 3 PRO 4350G,Renoir,4 / 8,3.8 to 4 GHz,Socket AM4,7 nm,4MB,65 W,"Jul 21st, 2020",
16,Ryzen 3 PRO 4350GE,Renoir,4 / 8,3.5 to 4 GHz,Socket AM4,7 nm,4MB,35 W,"Jul 21st, 2020",
17,Ryzen 3 PRO 4450U,Renoir,4 / 8,2.4 to 3.7 GHz,Socket FP6,7 nm,4MB,15 W,"May 7th, 2020",
18,Ryzen 5 4500U,Renoir,6,2.3 to 4 GHz,Socket FP6,7 nm,11MB,25 W,"Jan 6th, 2020",
19,Ryzen 5 4600G,Renoir,6 / 12,3.7 to 4.2 GHz,Socket AM4,7 nm,8MB,65 W,"Jul 21st, 2020",
20,Ryzen 5 4600GE,Renoir,6 / 12,3.3 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,"Jul 21st, 2020",
21,Ryzen 5 4600H,Renoir,6 / 12,3 to 4 GHz,Socket FP6,7 nm,11MB,54 W,"Jan 6th, 2020",
22,Ryzen 5 4600HS,Renoir,6 / 12,3 to 4 GHz,Socket FP6,7 nm,11MB,35 W,"Jan 6th, 2020",
23,Ryzen 5 4600U,Renoir,6 / 12,2.1 to 4 GHz,Socket FP6,7 nm,11MB,25 W,"Jan 6th, 2020",
24,Ryzen 5 5600X,Vermeer,6 / 12,3.7 to 4.6 GHz,Socket AM4,7 nm,32MB,65 W,"Nov 5th, 2020",
25,Ryzen 5 PRO 4650G,Renoir,6 / 12,3.7 to 4.2 GHz,Socket AM4,7 nm,8MB,65 W,"Jul 21st, 2020",
26,Ryzen 5 PRO 4650GE,Renoir,6 / 12,3.3 to 4.2 GHz,Socket AM4,7 nm,8MB,35 W,"Jul 21st, 2020",
27,Ryzen 5 PRO 4650U,Renoir,6 / 12,2.1 to 4 GHz,Socket FP6,7 nm,8MB,15 W,"May 7th, 2020",
28,Ryzen 7 3800XT,Matisse 2,8 / 16,3.8 to 4.7 GHz,Socket AM4,7 nm,32MB,105 W,"Jul 7th, 2020",
29,Ryzen 7 4700G,Renoir,8 / 16,3.6 to 4.4 GHz,Socket AM4,7 nm,8MB,65 W,"Jul 21st, 2020",
30,Ryzen 7 4700GE,Renoir,8 / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,"Jul 21st, 2020",
31,Ryzen 7 4700U,Renoir,8,1.8 to 4.2 GHz,Socket FP6,7 nm,12MB,25 W,"Jan 6th, 2020",
32,Ryzen 7 4750U,Renoir,8 / 16,1.7 to 4.1 GHz,Socket FP6,7 nm,8MB,15 W,"May 7th, 2020",
33,Ryzen 7 4800H,Renoir,8 / 16,2.9 to 4.2 GHz,Socket FP6,7 nm,12MB,54 W,"Jan 6th, 2020",
34,Ryzen 7 4800HS,Renoir,8 / 16,2.9 to 4.2 GHz,Socket FP6,7 nm,12MB,35 W,"Jan 6th, 2020",
35,Ryzen 7 4800U,Renoir,8 / 16,1.8 to 4.2 GHz,Socket FP6,7 nm,8MB,25 W,"Jan 6th, 2020",
36,Ryzen 7 5800X,Vermeer,8 / 16,3.8 to 4.7 GHz,Socket AM4,7 nm,32MB,105 W,"Nov 5th, 2020",
37,Ryzen 7 PRO 4750G,Renoir,8 / 16,3.6 to 4.4 GHz,Socket AM4,7 nm,8MB,65 W,"Jul 21st, 2020",
38,Ryzen 7 PRO 4750GE,Renoir,8 / 16,3.1 to 4.3 GHz,Socket AM4,7 nm,8MB,35 W,"Jul 21st, 2020",
39,Ryzen 9 3900XT,Matisse 2,12 / 24,3.9 to 4.7 GHz,Socket AM4,7 nm,64MB,105 W,"Jul 7th, 2020",
40,Ryzen 9 4900H,Renoir,8 / 16,3.3 to 4.4 GHz,Socket FP6,7 nm,12MB,54 W,"Mar 16th, 2020",
41,Ryzen 9 4900HS,Renoir,8 / 16,3 to 4.3 GHz,Socket FP6,7 nm,12MB,35 W,"Mar 7th, 2020",
42,Ryzen 9 5900X,Vermeer,12 / 24,3.7 to 4.8 GHz,Socket AM4,7 nm,64MB,105 W,"Nov 5th, 2020",
43,Ryzen 9 5950X,Vermeer,16 / 32,3.4 to 4.9 GHz,Socket AM4,7 nm,64MB,105 W,"Nov 5th, 2020",
44,Ryzen Embedded R1102G,Zen,2 / 4,1.2 to 2.6 GHz,Socket FP5,14 nm,4MB,6 W,"Feb 25th, 2020",
45,Ryzen Embedded R1305G,Zen,2 / 4,1.5 to 2.8 GHz,Socket FP5,14 nm,4MB,10 W,"Feb 25th, 2020",
46,Ryzen Embedded R1505G,Zen,2 / 4,2.4 to 3.3 GHz,Socket FP5,14 nm,4MB,25 W,"Feb 25th, 2020",
47,Ryzen Embedded R1600,Zen,2 / 4,2.6 to 3.1 GHz,Socket FP5,14 nm,4MB,25 W,"Feb 25th, 2020",
48,Ryzen Embedded R1606G,Zen,2 / 4,2.6 to 3.5 GHz,Socket FP5,14 nm,4MB,25 W,"Feb 25th, 2020",
49,Ryzen Embedded V2516,Renoir,6 / 12,2.1 to 3.95 GHz,Socket FP6,7 nm,8MB,10 W,"Nov 10th, 2020",
50,Ryzen Embedded V2546,Renoir,6 / 12,3 to 3.95 GHz,Socket FP6,7 nm,8MB,35 W,"Nov 10th, 2020",
51,Ryzen Embedded V2718,Renoir,8 / 16,1.7 to 4.15 GHz,Socket FP6,7 nm,8MB,10 W,"Nov 10th, 2020",
52,Ryzen Embedded V2748,Renoir,8 / 16,2.9 to 4.25 GHz,Socket FP6,7 nm,8MB,35 W,"Nov 10th, 2020",
53,Ryzen Threadripper 3990X,Castle Peak,64 / 128,2.9 to 4.3 GHz,Socket TRX4,7 nm,256MB,280 W,"Feb 7th, 2020",
54,Ryzen Threadripper PRO 3945WX,Castle Peak,12 / 24,4 to 4.3 GHz,Socket WRX8,7 nm,64MB,280 W,"Jul 14th, 2020",
55,Ryzen Threadripper PRO 3955WX,Castle Peak,16 / 32,3.9 to 4.3 GHz,Socket WRX8,7 nm,64MB,280 W,"Jul 14th, 2020",
