,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel,Intel
,Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released,Unnamed: 9_level_1
0,Celeron 7300,Alder Lake-U,5 / 6,1000 MHz,BGA 1781,10 nm,8MB,9 W,"Feb 23rd, 2022",
1,Celeron 7305,Alder Lake-U,5 / 6,1100 MHz,BGA 1744,10 nm,8MB,15 W,"Feb 23rd, 2022",
2,Celeron G6900,Alder Lake-S,2,3.4 GHz,Socket 1700,10 nm,4MB,46 W,"Jan 4th, 2022",
3,Celeron G6900E,Alder Lake-S,2,3 GHz,Socket 1700,10 nm,4MB,46 W,"Jan 4th, 2022",
4,Celeron G6900T,Alder Lake-S,2,2.8 GHz,Socket 1700,10 nm,4MB,35 W,"Jan 4th, 2022",
5,Celeron G6900TE,Alder Lake-S,2,2.4 GHz,Socket 1700,10 nm,4MB,35 W,"Jan 4th, 2022",
6,Core i3-12100,Alder Lake-S,4 / 8,3.3 to 4.3 GHz,Socket 1700,10 nm,12MB,60 W,"Jan 4th, 2022",
7,Core i3-12100E,Alder Lake-S,4 / 8,3.2 to 4.2 GHz,Socket 1700,10 nm,12MB,60 W,"Jan 4th, 2022",
8,Core i3-12100F,Alder Lake-S,4 / 8,3.3 to 4.3 GHz,Socket 1700,10 nm,12MB,58 W,Jan 2022,
9,Core i3-12100T,Alder Lake-S,4 / 8,2.2 to 4.1 GHz,Socket 1700,10 nm,12MB,35 W,Jan 2022,
10,Core i3-12100TE,Alder Lake-S,4 / 8,2.1 to 4 GHz,Socket 1700,10 nm,12MB,35 W,Jan 2022,
11,Core i3-1210U,Alder Lake-U,6 / 8,1 to 4.4 GHz,BGA 1781,10 nm,10MB,9 W,"Feb 23rd, 2022",
12,Core i3-1215U,Alder Lake-U,6 / 8,1.2 to 4.4 GHz,BGA 1744,10 nm,10MB,15 W,"Feb 23rd, 2022",
13,Core i3-1215U (IPU),Alder Lake-U,6 / 8,1.2 to 4.4 GHz,BGA 1744,10 nm,10MB,15 W,"Feb 23rd, 2022",
14,Core i3-1220P,Alder Lake-P,10 / 12,1.5 to 4.4 GHz,BGA 1744,10 nm,12MB,28 W,"Feb 23rd, 2022",
15,Core i3-12300,Alder Lake-S,4 / 8,3.5 to 4.4 GHz,Socket 1700,10 nm,12MB,60 W,Jan 2022,
16,Core i3-12300HE,Alder Lake-H,8 / 12,1.9 to 4.3 GHz,BGA 1744,10 nm,12MB,45 W,Jan 2022,
17,Core i3-12300T,Alder Lake-S,4 / 8,2.3 to 4.2 GHz,Socket 1700,10 nm,12MB,35 W,Jan 2022,
18,Core i5-1230U,Alder Lake-U,10 / 12,1 to 4.4 GHz,BGA 1781,10 nm,12MB,9 W,"Feb 23rd, 2022",
19,Core i5-1235U,Alder Lake-U,10 / 12,1.3 to 4.4 GHz,BGA 1744,10 nm,12MB,15 W,"Feb 23rd, 2022",
20,Core i5-1235U (IPU),Alder Lake-U,10 / 12,1.3 to 4.4 GHz,BGA 1744,10 nm,12MB,15 W,"Feb 23rd, 2022",
21,Core i5-12400,Alder Lake-S,6 / 12,2.5 to 4.4 GHz,Socket 1700,10 nm,18MB,65 W,"Jan 4th, 2022",
22,Core i5-12400F,Alder Lake-S,6 / 12,2.5 to 4.4 GHz,Socket 1700,10 nm,18MB,65 W,"Jan 4th, 2022",
23,Core i5-12400T,Alder Lake-S,6 / 12,1.8 to 4.2 GHz,Socket 1700,10 nm,18MB,35 W,Jan 2022,
24,Core i5-1240P,Alder Lake-P,12 / 16,1.7 to 4.4 GHz,BGA 1744,10 nm,12MB,28 W,"Feb 23rd, 2022",
25,Core i5-1240U,Alder Lake-U,10 / 12,1.1 to 4.4 GHz,BGA 1781,10 nm,12MB,9 W,"Feb 23rd, 2022",
26,Core i5-12450H,Alder Lake-H,8 / 12,2 to 4.4 GHz,BGA 1744,10 nm,12MB,45 W,Jan 2022,
27,Core i5-12450HX,Alder Lake-HX,8 / 12,2.4 to 4.4 GHz,BGA 1964,10 nm,12MB,55 W,"May 10th, 2022",
28,Core i5-1245U,Alder Lake-U,10 / 12,1.6 to 4.4 GHz,BGA 1744,10 nm,12MB,15 W,"Feb 23rd, 2022",
29,Core i5-12490F,Alder Lake-S,6 / 12,3 to 4.6 GHz,Socket 1700,10 nm,20MB,65 W,2022,
30,Core i5-12500,Alder Lake-S,6 / 12,3 to 4.6 GHz,Socket 1700,10 nm,18MB,65 W,"Jan 4th, 2022",
31,Core i5-12500E,Alder Lake-S,6 / 12,2.9 to 4.5 GHz,Socket 1700,10 nm,18MB,65 W,Jan 2022,
32,Core i5-12500H,Alder Lake-H,12 / 16,2.5 to 4.5 GHz,BGA 1744,10 nm,18MB,45 W,Jan 2022,
33,Core i5-12500T,Alder Lake-S,6 / 12,2 to 4.4 GHz,Socket 1700,10 nm,18MB,35 W,Jan 2022,
34,Core i5-12500TE,Alder Lake-S,6 / 12,1.9 to 4.3 GHz,Socket 1700,10 nm,18MB,35 W,Jan 2022,
35,Core i5-1250P,Alder Lake-P,12 / 16,1.7 to 4.4 GHz,BGA 1744,10 nm,12MB,28 W,"Feb 23rd, 2022",
36,Core i5-12600,Alder Lake-S,6 / 12,3.3 to 4.8 GHz,Socket 1700,10 nm,18MB,65 W,Jan 2022,
