,Intel,Intel,Intel,Intel
,Name,Cores,Socket,Released
0,Celeron G5900,2,Socket 1200,"Apr 30th, 2020"
1,Celeron G5920,2,Socket 1200,"Apr 30th, 2020"
2,Core i3-10100,4 / 8,Socket 1200,"Apr 30th, 2020"
3,Core i3-10300,4 / 8,Socket 1200,"Apr 30th, 2020"
4,Core i3-10320,4 / 8,Socket 1200,"Apr 30th, 2020"
5,Core i3-10350K,4 / 8,Socket 1200,"Apr 30th, 2020"
6,Core i3-1110G4,2 / 4,BGA 1598,"Sep 2nd, 2020"
7,Core i3-1115G4,2 / 4,BGA 1449,"Sep 2nd, 2020"
8,Core i3-1120G4,4 / 8,BGA 1598,"Sep 2nd, 2020"
9,Core i3-1125G4,4 / 8,BGA 1449,"Sep 2nd, 2020"
10,Core i5-10200H,4 / 8,BGA 1440,"Sep 17th, 2020"
11,Core i5-10300H,4 / 8,BGA 1440,"Sep 17th, 2020"
12,Core i5-1038NG7,4 / 8,BGA 1526,"May 4th, 2020"
13,Core i5-10400,6 / 12,Socket 1200,"Apr 30th, 2020"
14,Core i5-10400F,6 / 12,Socket 1200,"Apr 30th, 2020"
15,Core i5-10400H,4 / 8,BGA 1440,"Apr 2nd, 2020"
16,Core i5-10500,6 / 12,Socket 1200,"Apr 30th, 2020"
17,Core i5-10600,6 / 12,Socket 1200,"Apr 30th, 2020"
18,Core i5-10600K,6 / 12,Socket 1200,"Apr 30th, 2020"
19,Core i5-10600KF,6 / 12,Socket 1200,"Apr 30th, 2020"
20,Core i5-1130G7,4 / 8,BGA 1598,"Sep 2nd, 2020"
21,Core i5-1135G7,4 / 8,BGA 1449,"Sep 2nd, 2020"
22,Core i5-1145G7,4 / 8,BGA 1449,"Sep 2nd, 2020"
23,Core i7-10610U,4 / 8,BGA 1440,"Apr 2nd, 2020"
24,Core i7-10700,8 / 16,Socket 1200,"Apr 30th, 2020"
25,Core i7-10700F,8 / 16,Socket 1200,"Apr 30th, 2020"
26,Core i7-10700K,8 / 16,Socket 1200,"Apr 30th, 2020"
27,Core i7-10700KF,8 / 16,Socket 1200,"Apr 30th, 2020"
28,Core i7-10750H,6 / 12,BGA 1440,"Apr 2nd, 2020"
29,Core i7-10810U,6 / 12,BGA 1440,"Apr 2nd, 2020"
30,Core i7-10850H,6 / 12,BGA 1440,"Apr 2nd, 2020"
31,Core i7-10870H,8 / 16,BGA 1440,"Sep 17th, 2020"
32,Core i7-10875H,8 / 16,BGA 1440,"Apr 2nd, 2020"
33,Core i7-1160G7,4 / 8,BGA 1598,"Sep 2nd, 2020"
34,Core i7-1165G7,4 / 8,BGA 1449,"Sep 2nd, 2020"
35,Core i7-1185G7,4 / 8,BGA 1449,"Sep 2nd, 2020"
36,Core i9-10800F,10 / 20,Socket 1200,"Apr 30th, 2020"
37,Core i9-10850K,10 / 20,Socket 1200,"Jul 27th, 2020"
38,Core i9-10885H,8 / 16,BGA 1440,"Apr 2nd, 2020"
39,Core i9-10900,10 / 20,Socket 1200,"Apr 30th, 2020"
40,Core i9-10900F,10 / 20,Socket 1200,"Apr 30th, 2020"
41,Core i9-10900K,10 / 20,Socket 1200,"Apr 30th, 2020"
42,Core i9-10900KF,10 / 20,Socket 1200,"Apr 30th, 2020"
43,Core i9-10980HK,8 / 16,BGA 1440,"Apr 2nd, 2020"
44,Core i9-10990XE,22 / 44,Socket 2066,Never Released
45,Pentium Gold G6400,2 / 4,Socket 1200,"Apr 30th, 2020"
46,Pentium Gold G6500,2 / 4,Socket 1200,"Apr 30th, 2020"
47,Pentium Gold G6600,2 / 4,Socket 1200,"Apr 30th, 2020"
48,Xeon W-1290,10 / 20,Socket 1200,"May 13th, 2020"
49,Xeon W-1290P,10 / 20,Socket 1200,"May 13th, 2020"
